step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,5.81707,0.233468,0.457799,5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
5000,1.30835,0.853809,0.960718,0.000887678,32,,,,,
5000,,,,,,1.36427,1.18837,0.175896,0.854221,0.939088
5100,1.29283,0.855579,0.96599,0.000880401,33,,,,,
5100,,,,,,1.32815,1.18515,0.143001,0.855258,0.950094
5200,1.29208,0.854616,0.96571,0.00087293,33,,,,,
5200,,,,,,1.31491,1.18879,0.12612,0.855568,0.956119
5300,1.27857,0.855184,0.970755,0.000865268,34,,,,,
5300,,,,,,1.30216,1.18553,0.116626,0.855493,0.960188
5400,1.26624,0.856883,0.974953,0.000857419,35,,,,,
5400,,,,,,1.28837,1.1832,0.105178,0.855717,0.965544
5500,1.26393,0.855403,0.975566,0.000849389,35,,,,,
5500,,,,,,1.30373,1.18431,0.119419,0.85602,0.95908
5600,1.26004,0.855506,0.976323,0.000841181,36,,,,,
5600,,,,,,1.28725,1.18595,0.1013,0.855902,0.96616
5700,1.25396,0.856071,0.97887,0.000832801,37,,,,,
5700,,,,,,1.29791,1.18289,0.115018,0.855869,0.960578
5800,1.25367,0.855921,0.978635,0.000824251,37,,,,,
5800,,,,,,1.26949,1.18246,0.0870237,0.856866,0.970955
5900,1.24842,0.85673,0.979911,0.000815538,38,,,,,
5900,,,,,,1.29368,1.181,0.112674,0.857234,0.961821
6000,1.2442,0.856414,0.981347,0.000806665,38,,,,,
6000,,,,,,1.26702,1.18301,0.0840106,0.857093,0.972786
6100,1.24399,0.856167,0.981443,0.000797638,39,,,,,
6100,,,,,,1.26214,1.18454,0.0776085,0.855727,0.974699
6200,1.23893,0.857659,0.983129,0.000788462,40,,,,,
6200,,,,,,1.25982,1.17976,0.0800618,0.857156,0.973894
6300,1.23785,0.856369,0.983067,0.000779142,40,,,,,
6300,,,,,,1.25941,1.18386,0.0755503,0.857104,0.975398
6400,1.23662,0.857066,0.983149,0.000769683,41,,,,,
6400,,,,,,1.26126,1.18127,0.0799912,0.857587,0.973595
6500,1.22711,0.859079,0.986578,0.000760089,42,,,,,
6500,,,,,,1.25257,1.17833,0.0742365,0.857864,0.976714
6600,1.23165,0.857716,0.984411,0.000750367,42,,,,,
6600,,,,,,1.24285,1.17836,0.0644893,0.857755,0.979585
6700,1.22905,0.857409,0.985442,0.000740522,43,,,,,
6700,,,,,,1.24502,1.17973,0.065294,0.858422,0.978902
6800,1.22479,0.856546,0.98849,0.000730558,44,,,,,
6800,,,,,,1.24183,1.17836,0.063469,0.857739,0.979651
6900,1.22379,0.857653,0.98744,0.000720482,44,,,,,
6900,,,,,,1.23357,1.17851,0.0550607,0.858125,0.98286
7000,1.22082,0.859464,0.987708,0.000710299,45,,,,,
7000,,,,,,1.24017,1.17587,0.0642955,0.85919,0.979925
7100,1.2184,0.85863,0.988586,0.000700014,45,,,,,
7100,,,,,,1.23044,1.17923,0.0512097,0.857643,0.984697
7200,1.22019,0.858948,0.987745,0.000689634,46,,,,,
7200,,,,,,1.22433,1.17672,0.0476108,0.859491,0.98555
7300,1.21361,0.860087,0.989732,0.000679163,47,,,,,
7300,,,,,,1.22176,1.17457,0.0471894,0.859162,0.986064
7400,1.21366,0.858745,0.989716,0.000668608,47,,,,,
7400,,,,,,1.22041,1.17786,0.0425435,0.859271,0.987293
7500,1.21171,0.859369,0.990183,0.000657974,48,,,,,
7500,,,,,,1.22128,1.17615,0.0451306,0.859703,0.986412
7600,1.20489,0.861088,0.992438,0.000647268,49,,,,,
7600,,,,,,1.21578,1.17358,0.0421944,0.860568,0.987659
7700,1.20799,0.859855,0.99121,0.000636494,49,,,,,
7700,,,,,,1.2134,1.17416,0.0392368,0.859921,0.988583
7800,1.2074,0.859987,0.991151,0.00062566,50,,,,,
7800,,,,,,1.21852,1.17355,0.0449722,0.860901,0.986084
7900,1.20519,0.860556,0.991629,0.00061477,50,,,,,
7900,,,,,,1.21592,1.17432,0.041594,0.860671,0.987878
8000,1.20363,0.860327,0.992301,0.000603832,51,,,,,
8000,,,,,,1.21255,1.17345,0.0390998,0.861133,0.989157
8100,1.20358,0.861337,0.991961,0.00059285,52,,,,,
8100,,,,,,1.20804,1.17111,0.0369251,0.861824,0.989556
8200,1.20077,0.861126,0.992725,0.00058183,52,,,,,
8200,,,,,,1.2082,1.17397,0.0342256,0.861493,0.990672
8300,1.2008,0.861609,0.99237,0.00057078,53,,,,,
8300,,,,,,1.20456,1.17142,0.0331401,0.861487,0.990422
8400,1.1957,0.862389,0.993685,0.000559705,54,,,,,
8400,,,,,,1.20576,1.1697,0.0360639,0.862034,0.989954
8500,1.1963,0.861707,0.993512,0.000548611,54,,,,,
8500,,,,,,1.20182,1.17075,0.031068,0.862143,0.991428
8600,1.19511,0.862329,0.993687,0.000537503,55,,,,,
8600,,,,,,1.20534,1.1708,0.0345455,0.86245,0.990038
8700,1.18988,0.86132,0.995795,0.000526389,56,,,,,
8700,,,,,,1.19845,1.16914,0.029304,0.863005,0.992439
8800,1.19228,0.862471,0.99465,0.000515275,56,,,,,
8800,,,,,,1.19639,1.1689,0.0274915,0.86308,0.99298
8900,1.19102,0.863233,0.99473,0.000504165,57,,,,,
8900,,,,,,1.1952,1.16757,0.0276247,0.864059,0.992645
9000,1.19077,0.86343,0.994456,0.000493067,57,,,,,
9000,,,,,,1.19478,1.16926,0.0255198,0.863506,0.993142
9100,1.18869,0.863744,0.995016,0.000481986,58,,,,,
9100,,,,,,1.19533,1.16821,0.0271236,0.864194,0.99262
9200,1.18678,0.863585,0.995556,0.000470929,59,,,,,
9200,,,,,,1.1911,1.1653,0.0258053,0.864466,0.993471
9300,1.18619,0.864323,0.995352,0.000459902,59,,,,,
9300,,,,,,1.1915,1.16815,0.0233514,0.864605,0.994164
9400,1.18479,0.864951,0.995594,0.00044891,60,,,,,
9400,,,,,,1.1891,1.16611,0.0229918,0.864045,0.994107
9500,1.18213,0.865102,0.996309,0.00043796,61,,,,,
9500,,,,,,1.18757,1.1642,0.0233669,0.864448,0.994185
9600,1.18295,0.86501,0.995949,0.000427058,61,,,,,
9600,,,,,,1.18718,1.16418,0.0230074,0.865202,0.994348
9700,1.18211,0.865448,0.995855,0.000416209,62,,,,,
9700,,,,,,1.1862,1.16571,0.0204953,0.864887,0.994802
9800,1.18807,0.861175,0.996078,0.000405419,63,,,,,
9800,,,,,,1.18596,1.1645,0.0214619,0.864448,0.994936
9900,1.18135,0.86465,0.99626,0.000394696,63,,,,,
9900,,,,,,1.1867,1.16422,0.0224858,0.864793,0.994397
10000,1.17875,0.865923,0.996423,0.000384043,64,,,,,
10000,,,,,,1.18049,1.16123,0.0192593,0.867318,0.995467
10100,1.17764,0.866557,0.996517,0.000373468,64,,,,,
10100,,,,,,1.18281,1.16415,0.0186568,0.865933,0.995763
10200,1.17607,0.867227,0.996596,0.000362976,65,,,,,
10200,,,,,,1.17894,1.16088,0.0180657,0.86716,0.995612
10300,1.17704,0.866123,0.996581,0.000352572,66,,,,,
10300,,,,,,1.17944,1.15987,0.0195664,0.867796,0.995485
10400,1.17417,0.867589,0.996967,0.000342263,66,,,,,
10400,,,,,,1.17891,1.16029,0.0186151,0.868614,0.99589
10500,1.1734,0.868331,0.997092,0.000332054,67,,,,,
10500,,,,,,1.1758,1.16022,0.0155853,0.867699,0.996285
10600,1.17428,0.866356,0.996862,0.000321951,68,,,,,
10600,,,,,,1.17614,1.15867,0.0174689,0.868295,0.995743
10700,1.17175,0.86794,0.997183,0.000311958,68,,,,,
10700,,,,,,1.1747,1.15785,0.0168469,0.869261,0.996048
10800,1.17062,0.868851,0.997135,0.000302083,69,,,,,
10800,,,,,,1.17425,1.15839,0.0158578,0.869369,0.996202
10900,1.16987,0.868959,0.99737,0.000292329,69,,,,,
10900,,,,,,1.17329,1.15811,0.0151794,0.868408,0.996613
