step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,6.51641,0.137299,0.407654,1.5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
5000,1.94735,0.837874,0.727197,0.000146226,32,,,,,
5000,,,,,,1.88743,1.22251,0.664921,0.842345,0.74531
5100,1.94375,0.839667,0.729793,0.000138434,33,,,,,
5100,,,,,,1.88439,1.2204,0.663985,0.842793,0.744711
5200,1.92964,0.838422,0.733085,0.0001307,33,,,,,
5200,,,,,,1.87882,1.22208,0.656738,0.84285,0.748735
5300,1.92459,0.838793,0.734991,0.000123046,34,,,,,
5300,,,,,,1.87213,1.22109,0.651042,0.842801,0.750665
5400,1.91984,0.840734,0.736264,0.000115497,35,,,,,
5400,,,,,,1.86691,1.21931,0.647599,0.843272,0.751587
5500,1.91904,0.839032,0.736436,0.000108075,35,,,,,
5500,,,,,,1.87691,1.21919,0.657726,0.842863,0.748611
5600,1.92548,0.838752,0.734574,0.000100803,36,,,,,
5600,,,,,,1.86979,1.21985,0.649933,0.84319,0.751251
5700,1.93881,0.839898,0.725416,9.37018e-05,37,,,,,
5700,,,,,,1.86129,1.21941,0.641875,0.843382,0.754908
5800,1.92105,0.839167,0.735221,8.67937e-05,37,,,,,
5800,,,,,,1.8616,1.21885,0.642754,0.843505,0.754703
5900,1.92361,0.839593,0.73479,8.00994e-05,38,,,,,
5900,,,,,,1.85769,1.21807,0.639625,0.843617,0.754774
6000,1.90905,0.839536,0.73945,7.36392e-05,38,,,,,
6000,,,,,,1.85851,1.219,0.639518,0.843622,0.755302
6100,1.91137,0.839147,0.739773,6.74326e-05,39,,,,,
6100,,,,,,1.85554,1.21763,0.63791,0.844155,0.755142
6200,1.92467,0.840749,0.731789,6.14984e-05,40,,,,,
6200,,,,,,1.85112,1.21771,0.633404,0.843704,0.756551
6300,1.89922,0.839444,0.742367,5.58545e-05,40,,,,,
6300,,,,,,1.84993,1.2178,0.63213,0.843863,0.757639
6400,1.90471,0.839449,0.741234,5.0518e-05,41,,,,,
6400,,,,,,1.85073,1.21768,0.633047,0.844211,0.757905
6500,1.90617,0.841903,0.740048,4.55051e-05,42,,,,,
6500,,,,,,1.85266,1.21723,0.635426,0.843978,0.75657
6600,1.90217,0.840061,0.740995,4.08308e-05,42,,,,,
6600,,,,,,1.84277,1.21728,0.625487,0.844325,0.760509
6700,1.90632,0.839037,0.740337,3.65094e-05,43,,,,,
6700,,,,,,1.84283,1.217,0.62583,0.844557,0.760527
6800,1.94269,0.839276,0.725961,3.25539e-05,44,,,,,
6800,,,,,,1.84155,1.21675,0.6248,0.844157,0.760942
6900,1.90507,0.839547,0.741331,2.89762e-05,44,,,,,
6900,,,,,,1.84059,1.21687,0.623725,0.844517,0.760906
7000,1.90945,0.841246,0.739532,2.57873e-05,45,,,,,
7000,,,,,,1.83726,1.21638,0.620874,0.844355,0.761769
7100,1.89177,0.840127,0.745214,2.29966e-05,45,,,,,
7100,,,,,,1.83734,1.21677,0.620564,0.844453,0.762089
7200,1.88733,0.840166,0.747395,2.06128e-05,46,,,,,
7200,,,,,,1.84032,1.21661,0.623714,0.844613,0.761413
7300,1.90117,0.84166,0.741191,1.86429e-05,47,,,,,
7300,,,,,,1.83528,1.21605,0.619232,0.844577,0.763058
7400,1.89002,0.839847,0.745841,1.70929e-05,47,,,,,
7400,,,,,,1.83953,1.21625,0.623283,0.844575,0.761539
7500,1.89474,0.839949,0.744283,1.59676e-05,48,,,,,
7500,,,,,,1.83733,1.21647,0.62086,0.844646,0.762164
7600,1.89747,0.842306,0.74169,1.52703e-05,49,,,,,
7600,,,,,,1.83739,1.21617,0.621223,0.844601,0.762598
7700,1.89381,0.840235,0.743816,1.50031e-05,49,,,,,
7700,,,,,,1.83515,1.21612,0.619036,0.844695,0.762681
7800,1.90122,0.839546,0.742114,1.51669e-05,50,,,,,
7800,,,,,,1.83676,1.21594,0.62082,0.844683,0.761886
7900,1.88906,0.840418,0.745589,1.57611e-05,50,,,,,
7900,,,,,,1.84031,1.21612,0.624185,0.844656,0.760633
