step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,4.63554,0.276687,0.120187,5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
4800,,,,,,-1.26265,1.22639,-2.48905,0.842612,0.174508
4900,-1.56701,0.840099,0.130192,0.000894756,32,,,,,
4900,,,,,,-1.32775,1.22842,-2.55616,0.841558,0.135848
5000,-1.37132,0.84128,0.13416,0.000887678,32,,,,,
5000,,,,,,-1.44405,1.22539,-2.66945,0.841978,0.0925198
5100,-1.57248,0.843648,0.163104,0.000880401,33,,,,,
5100,,,,,,-1.49891,1.22492,-2.72383,0.843402,0.129326
5200,-1.51056,0.842075,0.149445,0.00087293,33,,,,,
5200,,,,,,-1.70005,1.22288,-2.92293,0.843547,0.158736
5300,-1.67929,0.843491,0.115079,0.000865268,34,,,,,
5300,,,,,,-1.76994,1.22817,-2.99811,0.842921,0.0777122
5400,-1.72926,0.844729,0.101099,0.000857419,35,,,,,
5400,,,,,,-1.84351,1.22207,-3.06558,0.84427,0.0943267
5500,-1.83408,0.843471,0.105919,0.000849389,35,,,,,
5500,,,,,,-1.90432,1.22374,-3.12806,0.843629,0.181974
5600,-1.92456,0.843568,0.145563,0.000841181,36,,,,,
5600,,,,,,-2.02234,1.21787,-3.24021,0.845282,0.0962575
5700,-1.91779,0.844185,0.1963,0.000832801,37,,,,,
5700,,,,,,-2.15282,1.22165,-3.37447,0.844015,0.118097
5800,-2.14376,0.844546,0.14998,0.000824251,37,,,,,
5800,,,,,,-2.21928,1.21955,-3.43883,0.844279,0.250213
5900,-2.27596,0.844261,0.169112,0.000815538,38,,,,,
5900,,,,,,-2.31352,1.2184,-3.53192,0.845941,0.140978
6000,-2.29528,0.845062,0.135595,0.000806665,38,,,,,
6000,,,,,,-2.42475,1.21535,-3.6401,0.846093,0.0851022
6100,-2.41372,0.845511,0.123512,0.000797638,39,,,,,
6100,,,,,,-2.47304,1.21597,-3.68901,0.845924,0.100231
6200,-2.6177,0.847324,0.146895,0.000788462,40,,,,,
6200,,,,,,-2.6353,1.21377,-3.84908,0.847311,0.123474
6300,-2.52175,0.84613,0.157292,0.000779142,40,,,,,
6300,,,,,,-2.58499,1.213,-3.79799,0.847193,0.131664
6400,-2.65693,0.846441,0.168638,0.000769683,41,,,,,
6400,,,,,,-2.75582,1.21171,-3.96753,0.84769,0.198146
6500,-2.64935,0.848947,0.147891,0.000760089,42,,,,,
6500,,,,,,-2.81129,1.2119,-4.02319,0.847596,0.146725
6600,-2.83319,0.84721,0.154582,0.000750367,42,,,,,
6600,,,,,,-2.9112,1.21253,-4.12374,0.846935,0.24183
6700,-2.93877,0.846837,0.201835,0.000740522,43,,,,,
6700,,,,,,-3.04266,1.20967,-4.25233,0.848489,0.223845
6800,-2.79661,0.846306,0.120225,0.000730558,44,,,,,
6800,,,,,,-2.98875,1.21012,-4.19887,0.847789,0.148143
6900,-3.0619,0.846964,0.142644,0.000720482,44,,,,,
6900,,,,,,-3.08341,1.21061,-4.29402,0.847646,0.12132
7000,-3.39779,0.848795,0.162312,0.000710299,45,,,,,
7000,,,,,,-3.27664,1.2098,-4.48644,0.848593,0.087016
7100,-3.21048,0.847618,0.14343,0.000700014,45,,,,,
7100,,,,,,-3.3663,1.20924,-4.57554,0.848432,0.121986
7200,-3.32612,0.848231,0.137885,0.000689634,46,,,,,
7200,,,,,,-3.47373,1.20924,-4.68297,0.848283,0.0546874
7300,-3.43105,0.849568,0.115017,0.000679163,47,,,,,
7300,,,,,,-3.51113,1.2096,-4.72073,0.848685,0.0584302
7400,-3.39387,0.848043,0.141602,0.000668608,47,,,,,
7400,,,,,,-3.59059,1.20695,-4.79754,0.849241,0.0682173
7500,-3.55338,0.848058,0.149162,0.000657974,48,,,,,
7500,,,,,,-3.59722,1.20675,-4.80397,0.849306,0.039369
7600,-3.6285,0.849577,0.180856,0.000647268,49,,,,,
7600,,,,,,-3.6774,1.20953,-4.88694,0.848506,0.0689223
7700,-3.70098,0.8482,0.144556,0.000636494,49,,,,,
7700,,,,,,-3.73211,1.20807,-4.94019,0.848361,0.205105
7800,-3.82656,0.848287,0.150349,0.00062566,50,,,,,
7800,,,,,,-3.89099,1.2055,-5.09649,0.849872,0.23894
7900,-3.85109,0.849025,0.141412,0.00061477,50,,,,,
7900,,,,,,-3.93791,1.20584,-5.14374,0.849278,0.0644405
8000,-3.92304,0.848559,0.167664,0.000603832,51,,,,,
8000,,,,,,-4.00703,1.2059,-5.21292,0.849709,0.0866205
