step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,5.37344,0.123677,0.21049,1.5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
4800,,,,,,0.978826,1.20609,-0.227264,0.847395,0.105244
4900,0.959799,0.840907,0.093051,0.000268427,32,,,,,
4900,,,,,,0.967451,1.20687,-0.239418,0.847047,0.106203
5000,0.997918,0.84226,0.119441,0.000266303,32,,,,,
5000,,,,,,0.954342,1.2061,-0.25176,0.847663,0.136054
5100,0.971356,0.843875,0.113497,0.00026412,33,,,,,
5100,,,,,,0.94406,1.20693,-0.262867,0.847296,0.151619
5200,0.979004,0.842583,0.11967,0.000261879,33,,,,,
5200,,,,,,0.92916,1.20611,-0.276948,0.847272,0.102904
5300,0.958935,0.842933,0.126007,0.00025958,34,,,,,
5300,,,,,,0.917428,1.20622,-0.288792,0.84768,0.116164
5400,0.952172,0.844597,0.131926,0.000257226,35,,,,,
5400,,,,,,0.911488,1.20671,-0.295221,0.847877,0.098423
5500,0.939958,0.843115,0.119947,0.000254817,35,,,,,
5500,,,,,,0.884921,1.20538,-0.320463,0.847676,0.12678
5600,0.921354,0.842599,0.121511,0.000252354,36,,,,,
5600,,,,,,0.88052,1.2058,-0.325279,0.847741,0.139171
5700,0.922414,0.843653,0.120617,0.00024984,37,,,,,
5700,,,,,,0.860826,1.20633,-0.345507,0.8475,0.102801
5800,0.898892,0.842724,0.10678,0.000247275,37,,,,,
5800,,,,,,0.843419,1.20731,-0.363892,0.845839,0.129285
5900,0.875558,0.843384,0.113897,0.000244661,38,,,,,
5900,,,,,,0.827359,1.20495,-0.377588,0.848361,0.243192
6000,0.8722,0.843333,0.120965,0.000242,38,,,,,
6000,,,,,,0.808544,1.20576,-0.397218,0.847942,0.202024
6100,0.854554,0.842914,0.129436,0.000239292,39,,,,,
6100,,,,,,0.794332,1.20471,-0.410378,0.848235,0.0847204
6200,0.824893,0.844341,0.0919787,0.000236539,40,,,,,
6200,,,,,,0.779957,1.20599,-0.426035,0.847826,0.0764143
6300,0.834145,0.842925,0.109471,0.000233743,40,,,,,
6300,,,,,,0.765859,1.205,-0.439138,0.84797,0.12604
6400,0.80903,0.842913,0.115371,0.000230905,41,,,,,
