timestamp,user_id,scenario,method,endpoint,status_code,latency_ms,success,error
2026-03-02T10:45:48.714831+00:00,9,place_order,POST,/orders,201,51.06,True,
2026-03-02T10:45:48.834120+00:00,6,view_item,GET,/catalogue/zzz4f044-b040-410d-8ead-4de0446aec7e,200,7.95,True,
2026-03-02T10:45:49.371320+00:00,8,get_card,GET,/card,200,8.48,True,
2026-03-02T10:45:50.096924+00:00,3,delete_cart_item,GET,/cart,200,11.91,True,
2026-03-02T10:45:50.159631+00:00,4,browse_catalogue,GET,/catalogue,200,8.52,True,
2026-03-02T10:45:50.175940+00:00,7,browse_homepage,GET,/,200,4.12,True,
2026-03-02T10:45:50.219038+00:00,1,update_cart_item,GET,/cart,200,51.39,True,
2026-03-02T10:45:50.370662+00:00,2,get_card,GET,/card,200,8.98,True,
2026-03-02T10:45:51.059377+00:00,5,get_orders,GET,/orders,201,21.17,True,
2026-03-02T10:45:51.391458+00:00,9,login,GET,/login,200,28.26,True,
2026-03-02T10:45:51.459738+00:00,8,login,GET,/login,200,27.03,True,
2026-03-02T10:45:51.461206+00:00,10,update_cart_item,GET,/cart,200,55.53,True,
2026-03-02T10:45:51.917711+00:00,3,get_card,GET,/card,200,9.25,True,
2026-03-02T10:45:51.996395+00:00,6,view_item,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,200,52.26,True,
2026-03-02T10:45:52.112290+00:00,4,catalogue_size,GET,/catalogue/size,200,13.62,True,
2026-03-02T10:45:52.321422+00:00,1,detail_page,GET,/catalogue/03fef6ac-1896-4ce8-bd69-b798f85c6e0b,200,11.62,True,
2026-03-02T10:45:52.728820+00:00,7,browse_homepage,GET,/,200,5.84,True,
2026-03-02T10:45:52.808580+00:00,9,browse_homepage,GET,/,200,5.8,True,
2026-03-02T10:45:53.113296+00:00,8,browse_catalogue,GET,/catalogue,200,50.64,True,
2026-03-02T10:45:53.744295+00:00,4,get_tags,GET,/tags,200,9.84,True,
2026-03-02T10:45:53.829742+00:00,10,basket_page,GET,/cart,200,12.39,True,
2026-03-02T10:45:54.002006+00:00,2,view_item,GET,/catalogue/510a0d7e-8e83-4193-b483-e27e09ddc34d,200,10.22,True,
2026-03-02T10:45:54.106636+00:00,5,detail_page,GET,/catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e,200,12.42,True,
2026-03-02T10:45:54.319242+00:00,8,catalogue_size,GET,/catalogue/size,200,12.59,True,
2026-03-02T10:45:54.456324+00:00,1,browse_homepage,GET,/,200,6.51,True,
2026-03-02T10:45:54.881403+00:00,3,browse_homepage,GET,/,200,5.66,True,
2026-03-02T10:45:55.382360+00:00,10,browse_catalogue,GET,/catalogue,200,11.03,True,
2026-03-02T10:45:55.448759+00:00,6,update_cart_item,GET,/cart,200,16.11,True,
2026-03-02T10:45:55.499489+00:00,8,get_tags,GET,/tags,200,9.08,True,
2026-03-02T10:45:55.515042+00:00,5,browse_catalogue,GET,/catalogue,200,49.92,True,
2026-03-02T10:45:55.632977+00:00,4,browse_catalogue,GET,/catalogue,200,12.05,True,
2026-03-02T10:45:55.769922+00:00,1,add_to_cart,POST,/cart,201,29.83,True,
2026-03-02T10:45:55.851440+00:00,7,basket_page,GET,/cart,200,13.75,True,
2026-03-02T10:45:55.937293+00:00,9,browse_catalogue,GET,/catalogue,200,52.55,True,
2026-03-02T10:45:56.400828+00:00,4,catalogue_size,GET,/catalogue/size,200,12.18,True,
2026-03-02T10:45:56.900220+00:00,2,update_cart_item,GET,/cart,200,12.43,True,
2026-03-02T10:45:56.951304+00:00,10,catalogue_size,GET,/catalogue/size,200,50.62,True,
2026-03-02T10:45:57.097074+00:00,5,catalogue_size,GET,/catalogue/size,200,9.41,True,
2026-03-02T10:45:57.244969+00:00,3,add_to_cart,POST,/cart,201,24.62,True,
2026-03-02T10:45:57.562104+00:00,6,checkout_view_item,GET,/catalogue/03fef6ac-1896-4ce8-bd69-b798f85c6e0b,200,17.36,True,
2026-03-02T10:45:57.650604+00:00,9,catalogue_size,GET,/catalogue/size,200,10.69,True,
2026-03-02T10:45:57.881292+00:00,8,browse_homepage,GET,/,200,6.47,True,
2026-03-02T10:45:57.992680+00:00,5,get_tags,GET,/tags,200,8.62,True,
2026-03-02T10:45:58.070184+00:00,10,get_tags,GET,/tags,200,49.97,True,
2026-03-02T10:45:58.153789+00:00,1,browse_homepage,GET,/,200,5.28,True,
2026-03-02T10:45:58.214777+00:00,7,checkout_view_item,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,200,49.14,True,
2026-03-02T10:45:58.219233+00:00,4,get_tags,GET,/tags,200,7.6,True,
2026-03-02T10:45:58.812542+00:00,6,checkout_add_to_cart,POST,/cart,201,20.13,True,
2026-03-02T10:45:59.105319+00:00,7,checkout_add_to_cart,POST,/cart,201,30.75,True,
2026-03-02T10:45:59.612840+00:00,2,detail_page,GET,/catalogue/510a0d7e-8e83-4193-b483-e27e09ddc34d,200,10.9,True,
2026-03-02T10:45:59.615408+00:00,9,get_tags,GET,/tags,200,10.64,True,
2026-03-02T10:46:00.014755+00:00,6,place_order,POST,/orders,406,46.15,False,406 Client Error: Not Acceptable for url: http://localhost:80/orders
2026-03-02T10:46:00.076103+00:00,3,login,GET,/login,200,25.43,True,
